 ,lat,lon,depth,vpvs,hd-angle,NumWaveformHD,NumWaveformPM,2-lobed-HD-Strength,4-lobed-HD-Strength,2-lobed-Angle,4-lobed-Angle
AP3N,69.4586,-84.4616,37.5,1.74,128,18,12,0.16,0.26,148.22,83.4
ARVN,61.0976,-94.0701,39,1.76,96,27,8,0.23,0.21,48.91,88.66
AXF,78.879997,-75.783333,32.5,1.94,328,8,1,0.75,1.85,135.72,67.46
BLKN,64.3185,-96.0024,33,1.8,198,95,53,0.17,0.19,82.89,68.01
BULN,66.3971,-93.1252,35,1.72,322,30,10,0.27,0.17,57.93,47.77
CNF,79.65667,-80.778328,27,1.76,318,28,12,0.37,0.38,96.8,76.52
CRLN,64.188797,-83.347832,32.5,1.74,120,39,10,0.35,0.38,80.2,32.54
CTSN,62.851799,-82.484642,33.5,1.82,30,50,12,0.23,0.32,67.41,124.36
DORN,64.229942,-76.530502,34.5,1.8,108,83,35,0.35,0.34,97.93,88.38
EUNU,80.0532,-86.4158,46,1.7,0,23,15,0.53,0.65,119.25,107.72
FCC,58.7592,-94.0884,38.5,1.76,178,75,19,0.22,0.21,28.21,114.99
GIFN,69.9945,-81.638,39.5,1.76,358,21,11,0.17,0.24,78.21,83.98
IBFB,80.605003,-79.576668,37,1.88,94,57,16,0.64,0.82,66.27,164.89
ILON,69.3712,-81.8243,35.5,1.76,86,67,6,0.52,0.94,122.6,86.57
INUQ,58.4509,-78.1186,38,1.84,58,18,4,4.76,4.39,77.82,148.6
JOSN,63.1622,-91.542,34,1.78,36,30,4,0.76,0.75,58.88,19.08
KUGN,68.0898,-90.0616,33.5,1.76,198,40,17,0.25,0.28,131.51,64.92
LAIN,69.1086,-83.5361,38.5,1.74,146,24,15,0.19,0.22,73.98,114.8
MANN,62.289333,-79.591835,32.5,1.84,142,43,14,0.34,0.23,51.58,107.07
MARN,71.326279,-79.373581,38.5,1.74,278,49,9,0.51,0.68,20.35,78.99
MCF,82.648331,-75.041672,32,1.94,240,9,2,0.39,0.57,129.84,150.89
MCMN,63.3043,-92.2977,33,1.84,120,20,7,0.16,0.22,81.94,45.37
NOTN,63.293659,-78.135452,34,1.78,230,45,6,0.32,0.2,81.58,89.39
NUNN,65.2146,-91.0784,33.5,1.8,320,30,6,0.23,0.29,51.13,54.4
POIN,72.7012,-77.962,32.5,1.78,90,23,6,0.53,0.41,81.73,126.52
QILN,66.6532,-86.3709,34.5,1.78,122,60,26,0.18,0.23,65.9,57.16
RES,74.6892,-94.8962,34.5,2.08,62,20,8,0.35,0.55,67.27,127.72
SAKN,56.5359,-79.2324,37.5,2,328,34,18,0.26,0.15,56.35,109.29
SEDN,63.2502,-91.2081,37.5,1.72,284,33,5,1.68,1.74,82.95,158.93
SHMN,64.576668,-84.114517,35,1.76,56,42,13,0.26,0.25,64,106.64
SHWN,63.775139,-85.088692,35,1.78,296,40,18,0.26,0.15,54.99,87.32
SMLN,68.5936,-91.9364,38,1.72,224,12,4,0.2,0.35,106.31,66.44
SRLN,68.5513,-83.3238,36.5,1.74,28,57,17,0.21,0.2,67.76,116.17
STLN,67.3116,-92.9849,36.5,1.74,32,23,5,0.22,0.3,74.4,99.83
TQF,81.41333,-76.845001,43.5,1.64,308,22,15,0.72,0.89,62.29,152.65
WAGN,65.8792,-89.4445,34,1.74,130,21,3,1.01,1.06,41.79,147.81
YRTN,62.8102,-92.1095,36,1.76,30,14,3,1.72,1.77,66.25,25.29