sta,lat,lon,moho_depth,moho_vp,moho_vs,moho_rho,
MANN,62.29,-79.59,43.638,8643,5915,2421,0.043638
RES,74.69,-94.9,40.703,8257,4578,2319,0.040703
IGLN,69.37,-81.82,40.967,8610,5240,2991,0.040967
JOSN,63.16,-91.54,38.684,8231,4812,2267,0.038684
MARN,71.33,-79.37,44.71,8240,5467,2273,0.04471
SNKN,56.54,-79.23,37.079,7986,4560,2343,0.037079
SHMN,64.58,-84.11,43.976,7985,5344,2774,0.043976
CTSN,62.85,-82.48,39.712,8107,4697,2569,0.039712
NUNN,65.21,-91.08,36.016,8166,4687,2595,0.036016
BLKN,64.32,-96,41.84,8045,5302,2647,0.04184
STLN,67.31,-92.98,43.897,8549,5242,2260,0.043897
AKVQ,60.81,-78.19,42.889,8201,4645,2405,0.042889
QILN,66.65,-86.37,43.956,8153,5530,2278,0.043956
TQF,81.41,-76.85,43.942,8728,5493,2277,0.043942
IBFB,80.61,-79.58,35.443,8806,4785,3147,0.035443
NOTN,63.29,-78.14,43.091,8667,5628,2347,0.043091
LAIN,69.11,-83.54,42.145,8125,4547,2569,0.042145
KJKQ,55.28,-77.75,40.816,8547,4503,3057,0.040816
SEDN,63.25,-91.21,40.52,8627,4907,2339,0.04052
SAKN,56.54,-79.23,30.119,8395,5002,2414,0.030119
POIN,72.7,-77.96,40.249,8586,5129,2412,0.040249
CRLN,64.19,-83.35,41.316,8268,5222,2247,0.041316
MCMN,63.3,-92.3,42.837,8650,5501,2391,0.042837
YRTN,62.81,-92.11,33.844,8687,4640,2301,0.033844
MCF,82.65,-75.04,43.517,8830,5531,2333,0.043517
SHWN,63.78,-85.09,39.617,8549,4890,2934,0.039617
WAGN,65.88,-89.44,39.946,8583,5292,2333,0.039946
DORN,64.23,-76.53,42.966,8475,5328,2386,0.042966
FCC,58.76,-94.09,40.861,8543,4526,2203,0.040861
GIFN,69.99,-81.64,40.328,8745,4612,2322,0.040328
KUGN,68.09,-90.06,30.539,8361,4547,2245,0.030539
EUNU,80.05,-86.42,39.159,8284,5933,2287,0.039159
CNF,79.66,-80.78,33.864,7996,4974,2246,0.033864
INUQ,58.45,-78.12,44.299,7856,4610,2345,0.044299
AP3N,69.46,-84.46,40.024,8311,4746,2872,0.040024
SMLN,68.59,-91.94,41.765,8559,5191,2361,0.041765
AXF,78.88,-75.78,43.892,8462,4796,2857,0.043892
SRLN,68.55,-83.32,40.004,8899,4646,2488,0.040004
ILON,69.37,-81.82,41.852,8433,5083,2334,0.041852
BULN,66.4,-93.13,39.682,8118,4856,2788,0.039682
ARVN,61.1,-94.07,43.197,8284,4683,2438,0.043197