sta_code,net_code,flat_moho,dip_moho,anis
AKVQ,PO,,,
AP3N,PO,,,
ARVN,PO,,,
AXF,1E,,,
BLKN,CN,,,
BULN,PO,,,
CNF,1E,,,
CRLN,X5,,,
CTSN,X5,,,
DORN,X5,,,
EUNU,CN,,,
FCC,CN,,,
GIFN,PO,,,
IBFB,1E,,,
IGLN,PO,,,
ILON,CN,,,
INUQ,PO,,,
JOSN,PO,,,
KJKQ,PO,,,
KUGN,PO,,,
LAIN,PO,,,
MANN,X5,,,
MARN,X5,,,
MCF,1E,,,
MCMN,PO,,,
MRYN,PO,,,
NOTN,X5,,,
NUNN,PO,,,
POIN,CN,,,
QILN,PO,,,
RES,CN,,,
SAKN,CN,,,
SEDN,PO,,,
SHMN,X5,,,
SHWN,X5,,,
SMLN,PO,,,
SNKN,PO,,,
SRLN,PO,,,
STLN,PO,,,
TQF,1E,,,
WAGN,PO,,,
YRTN,PO,,,